Date,high,low,close,volume,open
2023-11-21,106.05999755859375,101.33999633789062,105.48999786376953,9348200,104.0
2023-11-22,109.98999786376953,103.36000061035156,109.25,10340100,106.16999816894531
2023-11-24,116.94000244140625,107.9800033569336,115.54000091552734,11654600,108.44999694824219
2023-11-27,121.45999908447266,112.18000030517578,119.7699966430664,14205900,112.58000183105469
2023-11-28,129.25999450683594,119.69999694824219,128.27000427246094,17639100,122.05000305175781
2023-11-29,131.4199981689453,126.30000305175781,127.81999969482422,13908800,127.81999969482422
2023-11-30,127.13999938964844,118.4000015258789,124.72000122070312,14074000,126.05999755859375
2023-12-01,134.3300018310547,125.87999725341797,133.75999450683594,13668300,126.38999938964844
2023-12-04,146.3000030517578,137.60000610351562,141.08999633789062,21561900,143.52999877929688
2023-12-05,147.86000061035156,139.17999267578125,140.1999969482422,18303400,140.0
2023-12-06,143.44000244140625,134.1199951171875,134.6300048828125,12584400,142.5
2023-12-07,138.47999572753906,130.1699981689453,136.19000244140625,9795700,131.02000427246094
2023-12-08,146.74000549316406,135.85000610351562,146.6199951171875,11969900,136.19000244140625
2023-12-11,142.8699951171875,135.99000549316406,138.02000427246094,12160400,141.5
2023-12-12,141.75,135.99000549316406,139.6199951171875,8303500,139.88999938964844
2023-12-13,150.64999389648438,137.14999389648438,150.4600067138672,12514900,139.6199951171875
2023-12-14,154.74000549316406,149.10000610351562,153.6300048828125,12095100,152.10000610351562
2023-12-15,151.9199981689453,146.83999633789062,147.89999389648438,11258600,151.80999755859375
2023-12-18,155.00999450683594,144.0,153.42999267578125,9959900,144.80999755859375
2023-12-19,162.08999633789062,153.61000061035156,161.16000366210938,13906800,155.5
2023-12-20,169.47999572753906,160.07000732421875,161.86000061035156,16021900,164.72999572753906
2023-12-21,170.1699981689453,163.10000610351562,168.02999877929688,12081500,166.7100067138672
2023-12-22,178.6999969482422,167.89999389648438,175.47999572753906,15788000,169.77000427246094
2023-12-26,178.1199951171875,169.0500030517578,172.0500030517578,12544800,174.8000030517578
2023-12-27,186.97000122070312,175.5,185.24000549316406,15569900,176.32000732421875
2023-12-28,187.38999938964844,177.75,186.36000061035156,17276300,179.30999755859375
2023-12-29,187.25,171.0,173.9199981689453,19671200,186.05999755859375
2024-01-02,175.57000732421875,155.35000610351562,156.8800048828125,26549400,173.02000427246094
2024-01-03,156.25,144.11000061035156,152.24000549316406,18573800,146.0
2024-01-04,161.27999877929688,148.80999755859375,155.60000610351562,14874300,152.5
2024-01-05,157.69000244140625,151.08999633789062,153.97999572753906,10848900,152.6699981689453
2024-01-08,161.3800048828125,146.50999450683594,159.4199981689453,18125700,157.8000030517578
2024-01-09,159.99000549316406,151.32000732421875,151.99000549316406,12959700,159.60000610351562
2024-01-10,153.47000122070312,143.14999389648438,151.2899932861328,18718200,149.2100067138672
2024-01-11,161.0399932861328,140.00999450683594,141.16000366210938,31754200,159.19000244140625
2024-01-12,141.07000732421875,130.3699951171875,130.77999877929688,20314600,137.19000244140625
2024-01-16,136.39999389648438,126.87999725341797,133.8800048828125,14789700,129.44000244140625
2024-01-17,134.25999450683594,129.41000366210938,133.86000061035156,8133100,130.50999450683594
2024-01-18,137.30999755859375,123.93000030517578,124.33999633789062,14519500,133.25
2024-01-19,124.81999969482422,118.0199966430664,124.75,16659700,124.33999633789062
2024-01-22,131.77999877929688,122.5,128.2100067138672,12042600,124.05000305175781
2024-01-23,126.1500015258789,120.33000183105469,124.19000244140625,9737100,122.41000366210938
2024-01-24,127.97000122070312,120.79000091552734,121.33999633789062,9118900,127.27999877929688
